"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.648020363E2,2.320575064E1,3.721043262E0
2.653002401E2,2.392475588E1,3.940065842E0
2.657985264E2,2.451507070E1,4.175096318E0
2.662966009E2,2.483276401E1,4.364231538E0
2.667945981E2,2.522198581E1,4.684120622E0
2.672928310E2,2.582258250E1,5.078517977E0
2.677908884E2,1.914383983E1,1.769720263E-1
2.682890240E2,1.671395833E1,1.247300523E0
2.687871082E2,1.685918992E1,1.790690256E0
2.692852546E2,1.685622050E1,1.986361324E0
2.697834959E2,1.692751340E1,2.086907125E0
2.702817115E2,1.698402221E1,2.300872643E0
2.707798278E2,1.704498273E1,2.302592224E0
2.712779690E2,1.707487495E1,2.629609148E0
2.717759973E2,1.749155657E1,3.089054530E0
2.722741181E2,1.899660056E1,3.022855358E0
2.727721484E2,1.950920713E1,3.119968210E0
2.732702138E2,2.108011346E1,4.093668395E0
2.737682144E2,2.241689697E1,5.228718310E0
2.742662208E2,2.356149814E1,5.823857938E0
2.747642368E2,2.444282362E1,6.426243053E0
2.752623088E2,2.511811639E1,6.815871888E0
2.757604385E2,2.579413219E1,7.180535925E0
2.762586538E2,2.731102816E1,7.866017696E0
2.767567537E2,1.955924423E1,2.318286816E0
2.772548439E2,1.757614399E1,3.210788115E0
2.777528910E2,1.770956053E1,3.360789293E0
2.782510620E2,1.787135922E1,2.452190293E0
2.787492629E2,1.793975779E1,2.368940143E0
2.792475632E2,1.816504465E1,2.599628584E0
2.797458375E2,1.833781874E1,2.741172075E0
2.802440424E2,1.822898459E1,2.919880997E0
2.807421467E2,1.837663895E1,3.069816977E0
2.812401985E2,1.841983979E1,3.771339055E0
2.817382773E2,1.847488109E1,3.572078003E0
2.822365514E2,1.845544209E1,3.515667189E0
2.827348266E2,1.883080008E1,4.287630304E0
2.832330149E2,2.095890411E1,5.711318713E0
2.837312033E2,2.235116045E1,6.302503300E0
2.842295014E2,2.321517478E1,6.490991070E0
2.847278555E2,2.423834103E1,7.143465708E0
2.852261684E2,2.481116377E1,7.138910221E0
2.857243740E2,2.537430140E1,7.458574348E0
2.862225858E2,2.586076748E1,7.014257707E0
2.867207799E2,2.618856251E1,4.710515069E0
2.872191860E2,2.484972783E1,2.994039006E0
2.877175563E2,1.778530172E1,1.686688650E0
2.882158631E2,1.776469595E1,1.920250174E0
2.887141429E2,1.783792621E1,2.358495747E0
2.892125077E2,1.790080034E1,2.937874313E0
2.897109232E2,1.846085580E1,3.404010396E0
2.902091327E2,1.853643773E1,3.147719020E0
2.907074448E2,1.846301299E1,3.450410924E0
2.917037653E2,1.834429731E1,3.519028627E0
2.922021842E2,1.834315461E1,4.420164870E0
2.927005511E2,1.835398461E1,3.724545463E0
2.931988783E2,1.841119940E1,3.775865756E0
2.936971271E2,1.846840706E1,3.976922670E0
2.941954559E2,1.871298622E1,4.087662285E0
2.946937780E2,1.987267763E1,4.289153113E0
2.951922107E2,2.119743775E1,5.123717211E0
2.956905651E2,2.097476857E1,4.167709189E0
